Day,ASSAULT,CRIMINAL VIOLATIONS,OFFENSE INVOLVING CHILDREN,SEX OFFENSE,SUBSTANCE ABUSE,THEFT,WEAPONS VIOLATION
195,168,80,5,12,56,266,14
196,174,110,4,16,60,282,10
197,148,104,4,8,38,241,10
198,177,108,9,13,69,303,11
199,243,96,6,13,47,262,9
200,242,103,8,6,37,256,18
201,190,102,9,6,55,290,8
202,200,97,5,15,51,272,17
203,197,94,5,13,60,262,14
204,196,112,4,15,58,291,15
205,198,127,8,20,58,323,10
206,232,123,8,12,47,289,12
207,253,118,11,7,55,257,12
208,210,121,3,8,48,306,16
209,201,103,4,12,48,275,13
210,197,107,7,8,57,262,11
211,195,103,4,8,58,264,11
212,197,96,5,12,47,278,15
213,235,126,19,15,61,368,11
214,245,103,11,10,63,279,12
215,182,105,1,6,50,251,9
216,201,92,2,6,72,267,6
217,182,100,2,17,68,266,11
218,186,104,6,12,69,296,10
219,212,103,12,11,57,300,10
220,239,122,3,4,57,289,8
221,220,102,5,8,65,245,12
222,213,107,3,6,56,292,6
223,194,98,7,20,61,263,12
224,193,84,2,11,77,273,12
225,222,89,6,10,57,265,8
226,189,107,8,16,54,304,7
227,227,124,9,19,46,286,2
228,282,131,7,13,55,284,13
229,185,101,4,9,47,261,13
230,179,91,7,14,56,285,11
231,189,106,3,13,68,276,10
232,162,93,3,23,60,310,10
233,188,104,6,18,79,323,9
234,239,129,4,8,57,280,16
235,238,105,9,9,66,263,11
236,167,106,2,8,63,254,12
237,170,95,5,8,52,295,14
238,147,112,4,13,59,288,17
239,151,91,5,9,59,301,13
240,167,107,7,4,66,317,7
241,218,115,2,9,64,242,9
242,209,119,5,10,63,273,7
243,176,92,2,9,64,268,9
244,198,105,12,23,65,299,13
245,171,107,2,17,72,284,7
246,212,100,2,15,70,336,9
247,178,100,6,10,61,295,13
248,213,106,6,11,57,273,13
249,253,117,7,9,70,262,7
250,228,113,7,12,72,257,13
251,160,86,4,10,50,270,6
252,162,100,5,8,60,254,8
253,152,89,1,4,49,251,12
254,149,94,6,6,57,240,7
255,198,99,6,15,45,235,7
256,218,123,5,8,48,238,13
257,199,94,4,11,56,306,6
258,175,103,6,8,56,293,12
259,192,82,3,6,74,287,9
260,186,73,5,16,55,270,12
261,174,113,7,7,41,297,12
262,215,97,6,5,73,279,10
263,248,97,2,6,62,264,14
264,201,82,4,9,64,253,16
265,192,100,8,11,65,257,12
266,202,110,7,9,78,292,10
267,180,94,4,6,57,263,9
268,203,110,3,12,68,275,9
269,227,121,4,8,57,267,9
270,231,111,10,14,71,263,12
271,189,91,7,1,64,284,12
272,149,89,4,4,56,242,8
273,134,92,3,4,67,258,10
274,156,101,10,13,78,280,11
275,172,81,7,2,91,297,12
276,150,93,5,6,61,280,11
277,171,95,8,6,56,221,10
278,171,76,7,9,77,263,9
279,169,80,7,12,76,263,13
280,187,91,2,13,61,245,5
281,194,76,3,10,57,256,4
282,167,92,9,6,86,287,12
283,170,121,4,9,59,247,6
284,236,117,10,9,43,226,14
285,189,103,3,4,53,253,9
286,191,110,5,6,55,253,4
287,166,105,6,12,68,280,7
288,162,106,3,15,75,296,7
289,160,99,6,9,60,266,10
290,180,104,6,10,52,261,13
291,195,129,4,6,50,194,9
292,181,121,5,5,58,298,5
293,162,109,1,12,75,290,13
294,187,106,5,5,66,301,7
295,178,110,6,14,67,251,9
296,175,103,7,7,75,269,14
297,212,98,9,15,40,286,11
298,199,102,5,24,55,259,8
299,187,102,6,4,47,300,7
300,155,97,2,5,40,249,7
301,144,85,6,9,44,262,5
302,151,89,5,7,47,261,3
303,152,91,9,8,81,281,13
304,193,121,6,6,47,246,12
305,240,129,12,16,69,297,17
306,205,99,2,4,72,261,9
307,190,89,4,12,46,270,5
308,182,100,2,10,65,294,10
309,182,100,5,14,57,281,7
310,165,92,10,14,62,291,7
311,168,99,5,17,56,233,11
312,183,113,1,9,67,245,11
313,153,94,6,5,62,250,9
314,165,82,4,8,51,222,8
315,134,88,9,12,60,241,9
316,116,102,8,7,55,258,11
317,146,107,4,2,54,246,7
318,162,116,4,5,57,260,9
319,176,98,4,11,59,242,7
320,162,113,5,8,55,281,9
321,147,100,2,11,53,240,7
322,157,78,8,2,61,258,6
323,137,98,7,7,81,249,4
324,154,87,7,11,66,263,10
325,142,59,4,5,34,196,6
326,135,84,2,3,34,162,5
327,159,76,4,3,52,249,8
328,136,80,9,4,44,240,7
329,135,94,3,5,42,244,13
330,183,94,5,3,24,206,7
331,132,98,7,3,37,248,2
332,168,109,7,5,41,233,10
333,151,93,5,8,46,226,6
334,136,102,1,5,56,247,5
335,151,86,9,19,59,242,9
336,150,89,3,6,64,293,6
337,162,75,7,7,53,287,4
338,153,85,4,6,49,273,6
339,192,108,6,15,40,238,9
340,163,111,5,6,43,259,8
341,149,99,3,5,44,284,3
342,154,99,4,6,54,274,8
343,150,87,10,4,37,285,4
344,160,85,6,7,39,282,7
345,163,116,7,8,38,308,5
346,204,108,5,14,35,267,10
347,184,101,8,11,25,265,6
348,168,90,6,4,34,329,5
349,159,119,6,7,48,307,11
350,151,105,7,5,43,284,5
351,140,90,9,7,36,316,3
352,151,81,7,9,37,264,3
353,159,87,3,8,40,270,3
354,175,99,10,6,41,250,7
355,149,89,5,3,35,259,4
356,146,102,2,5,29,305,4
357,141,113,5,12,24,348,4
358,183,118,7,3,11,262,2
359,170,87,11,4,11,161,1
360,174,103,3,5,32,221,12
361,163,92,3,2,35,249,5
362,117,72,3,2,18,217,3
363,133,74,5,7,38,255,3
364,165,70,4,6,31,219,6
365,140,72,7,6,15,238,7
