Arrest,836,789,639,507,323,244,248,281,433,491,614,663,579,594,653,801,830,829,778,816,784,875,988,875
No Arrest,2001,1922,1770,1500,1106,854,743,1071,1642,1849,2068,2308,2508,2406,2443,2999,2845,2731,2770,2647,2767,2654,2533,2287
